     x        y        Cp  
   1.00000  0.00126  0.41486
   0.99371  0.00214  0.25485
   0.98274  0.00366  0.19539
   0.96994  0.00540  0.15164
   0.95560  0.00732  0.11835
   0.94019  0.00935  0.09018
   0.92415  0.01143  0.06703
   0.90778  0.01351  0.04661
   0.89123  0.01557  0.02867
   0.87460  0.01760  0.01254
   0.85792  0.01960 -0.00231
   0.84122  0.02156 -0.01580
   0.82450  0.02349 -0.02884
   0.80777  0.02538 -0.04058
   0.79103  0.02723 -0.05199
   0.77429  0.02905 -0.06317
   0.75754  0.03083 -0.07365
   0.74079  0.03257 -0.08421
   0.72404  0.03428 -0.09397
   0.70730  0.03594 -0.10388
   0.69055  0.03757 -0.11357
   0.67381  0.03916 -0.12313
   0.65707  0.04071 -0.13257
   0.64033  0.04221 -0.14195
   0.62361  0.04368 -0.15145
   0.60689  0.04509 -0.16065
   0.59018  0.04646 -0.17016
   0.57349  0.04778 -0.17945
   0.55680  0.04905 -0.18874
   0.54014  0.05027 -0.19811
   0.52348  0.05144 -0.20760
   0.50685  0.05254 -0.21697
   0.49023  0.05359 -0.22663
   0.47364  0.05457 -0.23611
   0.45707  0.05548 -0.24555
   0.44053  0.05633 -0.25543
   0.42401  0.05710 -0.26487
   0.40753  0.05779 -0.27480
   0.39108  0.05840 -0.28417
   0.37467  0.05892 -0.29405
   0.35830  0.05936 -0.30349
   0.34197  0.05969 -0.31326
   0.32570  0.05993 -0.32262
   0.30948  0.06006 -0.33195
   0.29332  0.06007 -0.34134
   0.27723  0.05996 -0.35033
   0.26122  0.05972 -0.35915
   0.24530  0.05935 -0.36781
   0.22948  0.05884 -0.37583
   0.21377  0.05817 -0.38369
   0.19820  0.05734 -0.39093
   0.18278  0.05634 -0.39752
   0.16756  0.05516 -0.40305
   0.15258  0.05378 -0.40815
   0.13790  0.05222 -0.41162
   0.12362  0.05045 -0.41364
   0.10984  0.04848 -0.41363
   0.09672  0.04634 -0.41188
   0.08443  0.04405 -0.40689
   0.07315  0.04166 -0.39912
   0.06300  0.03923 -0.38762
   0.05403  0.03681 -0.37238
   0.04620  0.03444 -0.35292
   0.03941  0.03214 -0.32886
   0.03353  0.02993 -0.30006
   0.02844  0.02780 -0.26636
   0.02400  0.02574 -0.22515
   0.02013  0.02374 -0.17798
   0.01673  0.02178 -0.12227
   0.01374  0.01987 -0.05568
   0.01111  0.01797  0.02168
   0.00881  0.01609  0.11188
   0.00679  0.01421  0.21653
   0.00505  0.01232  0.33541
   0.00358  0.01042  0.46766
   0.00236  0.00851  0.60557
   0.00140  0.00659  0.74279
   0.00070  0.00467  0.86056
   0.00024  0.00277  0.94942
   0.00003  0.00091  0.99435
   0.00003 -0.00091  0.99440
   0.00024 -0.00277  0.94889
   0.00070 -0.00467  0.86163
   0.00140 -0.00659  0.74200
   0.00236 -0.00851  0.60590
   0.00358 -0.01042  0.46700
   0.00505 -0.01232  0.33566
   0.00679 -0.01421  0.21625
   0.00881 -0.01609  0.11227
   0.01111 -0.01797  0.02096
   0.01374 -0.01987 -0.05577
   0.01673 -0.02178 -0.12194
   0.02013 -0.02373 -0.17800
   0.02400 -0.02573 -0.22530
   0.02844 -0.02780 -0.26627
   0.03353 -0.02993 -0.30030
   0.03941 -0.03214 -0.32880
   0.04620 -0.03444 -0.35314
   0.05403 -0.03681 -0.37244
   0.06300 -0.03923 -0.38744
   0.07315 -0.04166 -0.39931
   0.08443 -0.04405 -0.40697
   0.09672 -0.04634 -0.41176
   0.10984 -0.04848 -0.41387
   0.12362 -0.05045 -0.41358
   0.13790 -0.05221 -0.41171
   0.15258 -0.05378 -0.40801
   0.16756 -0.05516 -0.40315
   0.18278 -0.05634 -0.39751
   0.19819 -0.05734 -0.39089
   0.21377 -0.05817 -0.38373
   0.22948 -0.05884 -0.37597
   0.24530 -0.05935 -0.36757
   0.26122 -0.05972 -0.35940
   0.27723 -0.05996 -0.35032
   0.29332 -0.06007 -0.34126
   0.30948 -0.06005 -0.33215
   0.32570 -0.05993 -0.32267
   0.34197 -0.05969 -0.31318
   0.35830 -0.05936 -0.30348
   0.37467 -0.05892 -0.29395
   0.39108 -0.05840 -0.28444
   0.40753 -0.05779 -0.27470
   0.42401 -0.05710 -0.26487
   0.44052 -0.05633 -0.25525
   0.45707 -0.05548 -0.24580
   0.47364 -0.05457 -0.23597
   0.49023 -0.05359 -0.22672
   0.50685 -0.05254 -0.21695
   0.52348 -0.05144 -0.20766
   0.54013 -0.05027 -0.19812
   0.55680 -0.04905 -0.18876
   0.57349 -0.04778 -0.17950
   0.59018 -0.04646 -0.16999
   0.60689 -0.04509 -0.16081
   0.62361 -0.04367 -0.15133
   0.64033 -0.04221 -0.14200
   0.65707 -0.04071 -0.13264
   0.67381 -0.03916 -0.12322
   0.69055 -0.03757 -0.11348
   0.70729 -0.03594 -0.10390
   0.72404 -0.03428 -0.09413
   0.74079 -0.03257 -0.08387
   0.75754 -0.03083 -0.07386
   0.77428 -0.02905 -0.06312
   0.79103 -0.02723 -0.05212
   0.80776 -0.02538 -0.04076
   0.82450 -0.02349 -0.02855
   0.84122 -0.02156 -0.01590
   0.85792 -0.01960 -0.00223
   0.87460 -0.01760  0.01241
   0.89123 -0.01557  0.02862
   0.90778 -0.01351  0.04660
   0.92415 -0.01143  0.06699
   0.94019 -0.00935  0.09037
   0.95560 -0.00732  0.11787
   0.96994 -0.00540  0.15172
   0.98274 -0.00366  0.19555
   0.99371 -0.00214  0.25457
   1.00000 -0.00126  0.41486
