     x        y        Cp  
   1.00000  0.00126  0.45484
   0.99372  0.00214  0.27509
   0.98277  0.00365  0.20032
   0.96999  0.00539  0.13870
   0.95567  0.00731  0.08717
   0.94026  0.00934  0.04320
   0.92422  0.01142  0.00161
   0.90784  0.01350 -0.03534
   0.89128  0.01556 -0.06974
   0.87462  0.01759 -0.10324
   0.85793  0.01959 -0.13365
   0.84120  0.02155 -0.16403
   0.82446  0.02348 -0.19335
   0.80771  0.02537 -0.22201
   0.79095  0.02723 -0.25027
   0.77419  0.02905 -0.27810
   0.75742  0.03083 -0.30571
   0.74066  0.03257 -0.33381
   0.72389  0.03428 -0.36130
   0.70712  0.03594 -0.38927
   0.69035  0.03757 -0.41794
   0.67359  0.03916 -0.44647
   0.65683  0.04071 -0.47537
   0.64008  0.04221 -0.50525
   0.62333  0.04367 -0.53583
   0.60659  0.04509 -0.56614
   0.58987  0.04646 -0.59821
   0.57315  0.04778 -0.63059
   0.55645  0.04905 -0.66424
   0.53976  0.05026 -0.69861
   0.52309  0.05143 -0.73422
   0.50644  0.05253 -0.77119
   0.48980  0.05357 -0.80964
   0.47319  0.05455 -0.84874
   0.45660  0.05546 -0.89034
   0.44004  0.05630 -0.93288
   0.42351  0.05707 -0.97785
   0.40701  0.05776 -1.02429
   0.39055  0.05837 -1.07370
   0.37412  0.05889 -1.12480
   0.35774  0.05932 -1.17873
   0.34140  0.05965 -1.23586
   0.32511  0.05988 -1.29594
   0.30888  0.06000 -1.35990
   0.29272  0.06001 -1.42772
   0.27662  0.05989 -1.50018
   0.26060  0.05965 -1.57795
   0.24467  0.05927 -1.66128
   0.22884  0.05875 -1.75145
   0.21313  0.05807 -1.84928
   0.19755  0.05723 -1.95685
   0.18214  0.05622 -2.07430
   0.16693  0.05503 -2.20467
   0.15196  0.05365 -2.34992
   0.13730  0.05207 -2.51287
   0.12303  0.05029 -2.69699
   0.10929  0.04832 -2.90556
   0.09622  0.04618 -3.14196
   0.08399  0.04389 -3.41005
   0.07278  0.04150 -3.71072
   0.06271  0.03908 -4.04511
   0.05380  0.03667 -4.41114
   0.04603  0.03431 -4.81024
   0.03929  0.03203 -5.23956
   0.03346  0.02983 -5.70400
   0.02840  0.02771 -6.20032
   0.02399  0.02566 -6.73555
   0.02013  0.02367 -7.30872
   0.01674  0.02173 -7.92741
   0.01376  0.01982 -8.58705
   0.01114  0.01793 -9.29265
   0.00883  0.01606 -10.02731
   0.00682  0.01419 -10.78484
   0.00508  0.01231 -11.52375
   0.00360  0.01041 -12.18974
   0.00238  0.00851 -12.71586
   0.00141  0.00659 -12.98882
   0.00070  0.00467 -12.92885
   0.00025  0.00277 -12.48704
   0.00003  0.00091 -11.68984
   0.00003 -0.00091 -10.67735
   0.00025 -0.00277 -9.45091
   0.00070 -0.00467 -8.05283
   0.00141 -0.00659 -6.58320
   0.00238 -0.00851 -5.18089
   0.00360 -0.01041 -3.92202
   0.00508 -0.01231 -2.84815
   0.00682 -0.01419 -1.96332
   0.00883 -0.01606 -1.25001
   0.01114 -0.01793 -0.68368
   0.01376 -0.01982 -0.23591
   0.01674 -0.02173  0.11077
   0.02013 -0.02367  0.38021
   0.02399 -0.02566  0.58502
   0.02840 -0.02771  0.73847
   0.03346 -0.02983  0.84965
   0.03929 -0.03203  0.92561
   0.04603 -0.03431  0.97279
   0.05380 -0.03667  0.99583
   0.06271 -0.03908  0.99921
   0.07278 -0.04150  0.98710
   0.08399 -0.04389  0.96371
   0.09622 -0.04618  0.93274
   0.10929 -0.04832  0.89749
   0.12303 -0.05029  0.86046
   0.13730 -0.05207  0.82314
   0.15196 -0.05365  0.78680
   0.16693 -0.05503  0.75202
   0.18214 -0.05622  0.71892
   0.19755 -0.05723  0.68783
   0.21313 -0.05807  0.65856
   0.22884 -0.05875  0.63127
   0.24467 -0.05927  0.60569
   0.26060 -0.05965  0.58175
   0.27662 -0.05989  0.55943
   0.29272 -0.06001  0.53858
   0.30888 -0.06000  0.51904
   0.32511 -0.05988  0.50069
   0.34140 -0.05965  0.48363
   0.35774 -0.05932  0.46761
   0.37412 -0.05889  0.45242
   0.39055 -0.05837  0.43829
   0.40701 -0.05776  0.42500
   0.42351 -0.05707  0.41227
   0.44004 -0.05630  0.40061
   0.45660 -0.05546  0.38940
   0.47319 -0.05455  0.37869
   0.48980 -0.05357  0.36862
   0.50644 -0.05253  0.35929
   0.52309 -0.05143  0.35001
   0.53976 -0.05026  0.34185
   0.55645 -0.04905  0.33340
   0.57315 -0.04778  0.32559
   0.58987 -0.04646  0.31845
   0.60659 -0.04509  0.31118
   0.62333 -0.04367  0.30479
   0.64008 -0.04221  0.29812
   0.65683 -0.04071  0.29210
   0.67359 -0.03916  0.28647
   0.69035 -0.03757  0.28056
   0.70712 -0.03594  0.27580
   0.72389 -0.03428  0.27068
   0.74066 -0.03257  0.26609
   0.75742 -0.03083  0.26178
   0.77419 -0.02905  0.25766
   0.79095 -0.02723  0.25414
   0.80771 -0.02537  0.25141
   0.82446 -0.02348  0.24765
   0.84120 -0.02155  0.24659
   0.85793 -0.01959  0.24419
   0.87462 -0.01759  0.24349
   0.89128 -0.01556  0.24413
   0.90784 -0.01350  0.24462
   0.92422 -0.01142  0.24819
   0.94026 -0.00934  0.25330
   0.95567 -0.00731  0.26146
   0.96999 -0.00539  0.27489
   0.98277 -0.00365  0.29788
   0.99372 -0.00214  0.33302
   1.00000 -0.00126  0.45484
